master_metadata_track_name,play_count,spotify_track_uri,genre
11 Hz: Full Body Healing (Alpha Waves),189,spotify:track:3NPx7hDmtBehVQzNpWdoDI,healing sounds
11 Hz: Waves Instant Results (Alpha Waves),189,spotify:track:1K8bupD8llIBT0vqYr2OTE,healing sounds
House Tour,141,spotify:track:25jgQBxuUkGDdCG1WGKKN9,pop
Margaritar,140,spotify:track:5QTrNsrgp18AOaEGYJrr6E,folk pop
Zjerm,134,spotify:track:1MMfGAHowKNRithYDIRS1k,folktronica
You're Still The One,132,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n,country
the boy is mine,128,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,pop
Juno,115,spotify:track:21B4gaTWnTkuSh77iWEXdS,pop
Po te pres te Shadervani,107,spotify:track:3WNfbwWrxCMgj8jnXNUaPN,folk
EGO,103,spotify:track:5zUVTxMuwm7UKI0qXX5ypW,r&b
You Get What You Give,101,spotify:track:1Cwsd5xI8CajJz795oy4XF,pop rock
Through The Dark,96,spotify:track:0LmKPvxHQXESR0PpwK5KgG,"dream pop, jangle pop"
11 Hz: Super Concentration (Alpha Waves),95,spotify:track:6mC7UPrmJ3mIQIoQw4FEzw,healing sounds
11 Hz: Waves for Studying (Alpha Waves),94,spotify:track:4gYGnFiWi86DSz2YXQY5fP,healing sounds
11 Hz: Regeneration Aging Cells (Alpha Waves),93,spotify:track:3nlGJNAAUqkdDqgV3321u2,healing sounds
The Next Best American Record,91,spotify:track:7vRfxLcDDwgYW2WTrtEgUV,alternative pop
Running Up That Hill (A Deal With God),86,spotify:track:1PtQJZVZIdWIYdARpZRDFO,"art pop, baroque pop, art rock"
Moj e lind e rritur në Kosovë,85,spotify:track:2PeybaESBVUdGXw1DZTcRV,folk
Fati ynë shpresë e marrëzi,82,spotify:track:3IsIfgkMMwqq6ZMKPQ4tiJ,rock
We Are The People,82,spotify:track:3zEN0ii6s4DHHBpnTp3RP7,electropop
Dreams - 2004 Remaster,74,spotify:track:0ofHAoxe9vBkTCp2UQIavz,"classic rock, yacht rock, soft rock"
Bleed (feat. Omar Apollo),70,spotify:track:2TAKt1x0k9AltDJm31GhEu,alternative
Cuca E Uskanes,67,spotify:track:7AYrSKDWlb62ERmiw4HRRU,folk
Me Sy Mbyllur,67,spotify:track:3wdiYcj3XUWTERJGN2cClM,folk pop
Before You Break My Heart,65,spotify:track:3vbFjvzmJLrdttGuDhGrzi,pop
Raki Rrushi,65,spotify:track:2D3g6q4ulauZfFQCnnEXAF,r&b
dandelion,63,spotify:track:3fxDcaiomBMomHdMeCSsZ2,pop
Say Yes To Heaven,61,spotify:track:6GGtHZgBycCgGBUhZo81xe,alternative
No One Mourns the Wicked,61,spotify:track:0br9vcQnqeqp9PKCGsrxAF,musicals
Groupie Love (feat. A$AP Rocky),59,spotify:track:03hqMhmCZiNKMSPmVabPLP,alternative pop
Cinderella (feat. Ty Dolla $ign),59,spotify:track:2lpygKqzPFtItQ4ss3cgfb,hip hop
Nje Buzeqeshje,55,spotify:track:0UgxQQqRtpN5YpzhDx1Dk9,r&b
My Finest Hour,52,spotify:track:4H5L27YcjYk0P1N6gx7x2S,"dream pop, jangle pop"
Half Mast,51,spotify:track:49Hkgl03InFFqBklOQxunt,electropop
Love Me Like You,50,spotify:track:6L2uVVPJA9WcDc7zCZ4DHN,pop
Life Goes On,50,spotify:track:5SoKCTxPvWYSK9A5jNniP7,"dream pop, jangle pop"
Golden Brown,47,spotify:track:2AX5E86cn9n2dgioZEjirI,"proto-punk, new wave"
What It Sounds Like,47,spotify:track:5sBDrrtLGbV64QJnEqfjer,k-pop
Times Like These,47,spotify:track:01fzY6YKwKQ3LxCpIP6buB,alternative pop
Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,45,spotify:track:0MP4nheWCUxoztTK5yqb3g,musicals
Timeless (feat Playboi Carti),44,spotify:track:0FIDCNYYjNvPVimz5icugS,trap
just like magic,44,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,pop
Haunted,43,spotify:track:7cioKB5CHVzk09SOtTyn0T,pop
Për Kon,43,spotify:track:5aRZykZ3O3X3ZyA34GwTTc,alternative
Rendezvous,42,spotify:track:5xbEkKQwjDFPvjmlerIktb,pop
Mos shiko tjeter,42,spotify:track:0DdsESGqk0auUPprK6UY3o,balkan pop
I Will Survive,42,spotify:track:7rIovIsXE6kMn629b7kDig,disco
Kiss Me,42,spotify:track:0Tel1fmuCxEFV6wBLXsEdk,soft pop
Dorezohem,41,spotify:track:7CPecPLndya7wS6qXlcYcv,pop
Homeward,41,spotify:track:5UU9j2neitf1fZXJCKOfe7,"dream pop, jangle pop"
