master_metadata_track_name,play_count,spotify_track_uri,genre
Zjerm,434,spotify:track:34ozWcKZQ0RvV9td8EHfXO,folktronica
Running Up That Hill (A Deal With God),205,spotify:track:1PtQJZVZIdWIYdARpZRDFO,"art pop, baroque pop, art rock"
Chinese Satellite,187,spotify:track:1scaOnahzG7o8pfwfsL784,indie rock
Walk On By,154,spotify:track:3lk3Wca9bCzyCNa4KeH6rL,alternative
We Are The People,136,spotify:track:0rhoLQVFCojDGFyl0nsdVZ,electropop
bye,118,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,pop
ICU,113,spotify:track:0Jm0RTOlF7DsbQ689QclaF,alternative
Swan Lake,113,spotify:track:5UG6x2thg2g7KgwL4EKHyC,"ballet, classical, orchestral"
Deslocado,110,spotify:track:31CsSZ9KlQmEu0JvWSkM3j,indie pop
twilight zone,102,spotify:track:1YRbAonLvmuUILvQso0gUM,pop
Bleed (feat. Omar Apollo),102,spotify:track:5p3ckKoVpUi51ByUmA1vfT,indie pop
Cloudbusting - 2018 Remaster,98,spotify:track:74vfedGgRZKqkbr8gdzvkK,"art pop, baroque pop, art rock"
Hounds Of Love,95,spotify:track:6jWx7mD5oblxybTaWpiPZN,"art pop, baroque pop, art rock"
Balerina,94,spotify:track:4wIGkgD1oJhLuI9KYbH71E,hip hop
Remember When,91,spotify:track:4TXkzFABQIgKrTC9tcVlgR,indie pop
Your World is Eternally Complete - 2021 Remaster,87,spotify:track:0B9o1qzf2HvTDDp60EhZMQ,"shoegaze, dream pop, idm"
Thana,81,spotify:track:28CpRqheGRBVpu6IDqMoR2,afro house
Loco,80,spotify:track:1iRBYVoXnpzc3r4w4G8VdK,hip hop
Zjerm - Eurovision 2025 - Albania / Karaoke,78,spotify:track:58rm8uf8VVZV2lpVsMqTvW,folktronica
Suedehead - 2011 Remaster,75,spotify:track:76HJoPhDFxD7rizsbCmZND,"britpop, madchester, new wave, jangle pop"
Balada E Gurit,74,spotify:track:0XR2hftE6cX9dNZUvTK5fI,pop ballad
VONE,67,spotify:track:0UWXzVArejYMOznjh7oE4Z,house
eternal sunshine,67,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,pop
Molla E Pare,62,spotify:track:4hWnbsBNPiG886KoL0VDQj,alternative
Simulation Swarm,62,spotify:track:2FwDApgXk91kXvqy2oB7dz,alternative
The Big Sky - 2018 Remaster,62,spotify:track:2DbOx8HjtuJOBKCPsgVOwz,"art pop, baroque pop, art rock"
Neser shkoj,58,spotify:track:1dCqE88ypidxnC9exqjNYv,folktronica
Heartthrob,58,spotify:track:0AszmZCwynYjhxBYbJqko4,pop rock
Pranvera e Bukur,56,spotify:track:2dc64u8c3wdb2hmtnYH1oI,folktronica
dandelion,55,spotify:track:3fxDcaiomBMomHdMeCSsZ2,pop
Get Free,55,spotify:track:761QvVHTibYjEi2r6A4g4Q,dream pop
Zjarr E Akull,53,spotify:track:7suo73YG8AkLo9CzcHKgV1,alternative
Standing On The Shore,52,spotify:track:5g7Qylrck8rh2lUgEWPQVS,electropop
Juno,49,spotify:track:21B4gaTWnTkuSh77iWEXdS,pop
The Spins,48,spotify:track:7FAFkQQZFeNwOFzTrSDFIh,rap pop
Summertime,48,spotify:track:4TwaeQT1YTeBUBRB8NeSCo,"dream pop, jangle pop"
Dreams - 2004 Remaster,45,spotify:track:0ofHAoxe9vBkTCp2UQIavz,"classic rock, yacht rock, soft rock"
Oj hane by Muharrem Qena,44,spotify:track:1hUTSKZxLT8ChMHDMaFOlb,folk
Should Have Known Better - Demo,44,spotify:track:1iSI5NeLqGoTsvTk7PA5pY,baroque pop
Dangerous Days,43,spotify:track:0zrLF6EcVfZxHndmYN9wG3,"witch house, art pop"
Haunted,43,spotify:track:7cioKB5CHVzk09SOtTyn0T,r&b
e-Asphyxiation,43,spotify:track:67xO4UUjCfL5YpOKQcLFtp,alternative
End of Beginning,43,spotify:track:3qhlB30KknSejmIvZZLjOD,synth pop
What a Feeling,42,spotify:track:0iSWAT0EL8TwmzcgBjKMh6,pop
I Know There's Something Going On,42,spotify:track:6CT0MVgHnoAUXrSrnlwfWx,swedish pop
