genre,play_count,proportion
pop,732,19.242902208201894
healing sounds,660,17.350157728706623
folk,259,6.808622502628812
"dream pop, jangle pop",239,6.2828601472134595
r&b,223,5.862250262881178
folk pop,207,5.441640378548896
alternative pop,197,5.1787592008412195
alternative,174,4.574132492113565
folktronica,134,3.5226077812828605
electropop,133,3.496319663512092
country,132,3.4700315457413247
musicals,106,2.786540483701367
pop rock,101,2.6550998948475293
"art pop, baroque pop, art rock",86,2.260778128286015
rock,82,2.155625657202944
"classic rock, yacht rock, soft rock",74,1.9453207150368035
hip hop,59,1.5509989484752893
k-pop,47,1.2355415352260777
"proto-punk, new wave",47,1.2355415352260777
trap,44,1.1566771819137749
disco,42,1.1041009463722398
balkan pop,42,1.1041009463722398
soft pop,42,1.1041009463722398
