genre,play_count,proportion
folktronica,626,14.11181244364292
alternative,487,10.978358881875563
"art pop, baroque pop, art rock",460,10.36970243462579
pop,433,9.761045987376015
indie pop,303,6.830477908025248
electropop,188,4.2380522993688015
indie rock,187,4.215509467989179
hip hop,174,3.9224526600541028
"ballet, classical, orchestral",113,2.547339945897205
"shoegaze, dream pop, idm",87,1.9612263300270514
afro house,81,1.825969341749324
"britpop, madchester, new wave, jangle pop",75,1.6907123534715958
pop ballad,74,1.6681695220919748
house,67,1.5103697024346259
pop rock,58,1.3074842200180343
dream pop,55,1.2398557258791705
"dream pop, jangle pop",48,1.0820559062218216
rap pop,48,1.0820559062218216
"classic rock, yacht rock, soft rock",45,1.0144274120829575
folk,44,0.9918845807033363
baroque pop,44,0.9918845807033363
r&b,43,0.969341749323715
synth pop,43,0.969341749323715
"witch house, art pop",43,0.969341749323715
swedish pop,42,0.9467989179440938
